sent_ind,cve_sent_ind,token,pos,tag,dep,label
CVE-2012-4535,0,Xen,PROPN,NNP,nsubj,pn
CVE-2012-4535,0,3.4,NUM,CD,nummod,vrs
CVE-2012-4535,0,through,ADP,IN,prep,<=
CVE-2012-4535,0,4.2,NUM,CD,pobj,vre
CVE-2012-4535,0,",",PUNCT,",",punct,sp
CVE-2012-4535,0,and,CCONJ,CC,cc,=
CVE-2012-4535,0,possibly,ADV,RB,advmod,O
CVE-2012-4535,0,earlier,ADJ,JJR,amod,<
CVE-2012-4535,0,versions,NOUN,NNS,conj,O
CVE-2012-4535,0,",",PUNCT,",",punct,O
CVE-2012-4535,0,allows,VERB,VBZ,ROOT,O
CVE-2012-4535,0,local,ADJ,JJ,amod,O
CVE-2012-4535,0,guest,NOUN,NN,compound,O
CVE-2012-4535,0,OS,NOUN,NN,compound,O
CVE-2012-4535,0,administrators,NOUN,NNS,nsubj,O
CVE-2012-4535,0,to,PART,TO,aux,O
CVE-2012-4535,0,cause,VERB,VB,ccomp,O
CVE-2012-4535,0,a,DET,DT,det,O
CVE-2012-4535,0,denial,NOUN,NN,dobj,O
CVE-2012-4535,0,of,ADP,IN,prep,O
CVE-2012-4535,0,service,NOUN,NN,pobj,O
CVE-2012-4535,0,(,PUNCT,-LRB-,punct,O
CVE-2012-4535,0,Xen,PROPN,NNP,amod,O
CVE-2012-4535,0,infinite,ADJ,JJ,amod,O
CVE-2012-4535,0,loop,NOUN,NN,appos,O
CVE-2012-4535,0,and,CCONJ,CC,cc,O
CVE-2012-4535,0,physical,ADJ,JJ,amod,O
CVE-2012-4535,0,CPU,NOUN,NN,compound,O
CVE-2012-4535,0,consumption,NOUN,NN,conj,O
CVE-2012-4535,0,),PUNCT,-RRB-,punct,O
CVE-2012-4535,0,by,ADP,IN,prep,O
CVE-2012-4535,0,setting,VERB,VBG,pcomp,O
CVE-2012-4535,0,a,DET,DT,det,O
CVE-2012-4535,0,VCPU,PROPN,NNP,dobj,O
CVE-2012-4535,0,with,ADP,IN,prep,O
CVE-2012-4535,0,an,DET,DT,det,O
CVE-2012-4535,0,"""",PUNCT,``,punct,O
CVE-2012-4535,0,inappropriate,ADJ,JJ,amod,O
CVE-2012-4535,0,deadline,NOUN,NN,pobj,O
CVE-2012-4535,0,.,PUNCT,.,punct,O
CVE-2012-4535,1,"""",PUNCT,'',ROOT,O
