sent_ind,cve_sent_ind,token,pos,tag,dep,label
0,0,Multiple,ADJ,JJ,amod,O
1,0,unspecified,ADJ,JJ,amod,O
2,0,vulnerabilities,NOUN,NNS,nsubj,O
3,0,in,ADP,IN,prep,O
4,0,Adobe,PROPN,NNP,compound,pn
5,0,Flash,PROPN,NNP,compound,pn
6,0,Player,PROPN,NNP,compound,pn
7,0,10.x,PROPN,NNP,pobj,vrs
8,0,before,ADP,IN,prep,<
9,0,10.0.12.36,NUM,CD,pobj,vre
10,0,and,CCONJ,CC,cc,vrs
11,0,9.x,NUM,CD,conj,vrs
12,0,before,ADP,IN,prep,<
13,0,9.0.151.0,NUM,CD,nsubj,vre
14,0,allow,VERB,VBP,ROOT,verb
15,0,remote,ADJ,JJ,amod,O
16,0,attackers,NOUN,NNS,nsubj,O
17,0,to,PART,TO,aux,O
18,0,execute,VERB,VB,ccomp,O
19,0,arbitrary,ADJ,JJ,amod,O
20,0,code,NOUN,NN,dobj,O
21,0,via,ADP,IN,prep,O
22,0,unknown,ADJ,JJ,amod,O
23,0,vectors,NOUN,NNS,pobj,O
24,0,related,VERB,VBN,acl,O
25,0,to,ADP,IN,prep,O
26,0,"""",PUNCT,``,punct,O
27,0,input,NOUN,NN,compound,O
28,0,validation,NOUN,NN,compound,O
29,0,errors,NOUN,NNS,pobj,O
30,0,.,PUNCT,.,punct,O
31,0,"""",PUNCT,'',ROOT,O
32,2,The,DET,DT,0,O
33,2,AsrDrv101.sys,ADJ,JJ,nmod,O
34,2,and,CCONJ,CC,cc,O
35,2,AsrDrv102.sys,ADJ,JJ,conj,O
36,2,low,ADJ,JJ,amod,O
37,2,-,PUNCT,HYPH,punct,O
38,2,level,NOUN,NN,compound,O
39,2,drivers,NOUN,NNS,ROOT,O
40,2,in,ADP,IN,prep,O
41,2,ASRock,PROPN,NNP,compound,pn
42,2,RGBLED,NOUN,NNS,pobj,pn
43,2,before,ADP,IN,prep,<
44,2,v1.0.35.1,PROPN,NNP,pobj,vre
45,2,",",PUNCT,",",punct,sp
46,2,A,PROPN,NNP,det,pn
47,2,-,PUNCT,HYPH,punct,pn
48,2,Tuning,NOUN,NN,compound,pn
49,2,before,ADP,IN,prep,<
50,2,v3.0.210,PROPN,NNP,pobj,vre
51,2,",",PUNCT,",",punct,sp
52,2,F,PROPN,NNP,compound,pn
53,2,-,PUNCT,HYPH,punct,pn
54,2,Stream,PROPN,NNP,nsubj,pn
55,2,before,ADP,IN,prep,<
56,2,v3.0.210,NOUN,NN,pobj,vre
57,2,",",PUNCT,",",punct,sp
58,2,and,CCONJ,CC,cc,sp
59,2,RestartToUEFI,PROPN,NNP,conj,pn
60,2,before,ADP,IN,mark,<
61,2,v1.0.6.2,PROPN,NNP,pobj,vre
62,2,expose,VERB,VB,ROOT,verb
63,2,functionality,NOUN,NN,dobj,O
64,2,to,PART,TO,aux,O
65,2,read,VERB,VB,relcl,O
66,2,/,SYM,SYM,punct,O
67,2,write,VERB,VB,dep,O
68,2,data,NOUN,NNS,dobj,O
69,2,from,ADP,IN,prep,O
70,2,/,SYM,SYM,punct,O
71,2,to,ADP,IN,prep,O
72,2,IO,PROPN,NNP,compound,O
73,2,ports,NOUN,NNS,pobj,O
74,2,.,PUNCT,.,punct,O
75,2,This,DET,DT,nsubj,O
76,2,could,VERB,MD,aux,O
77,2,be,VERB,VB,ROOT,O
78,2,leveraged,VERB,VBN,acomp,O
79,2,in,ADP,IN,prep,O
80,2,a,DET,DT,det,O
81,2,number,NOUN,NN,pobj,O
82,2,of,ADP,IN,prep,O
83,2,ways,NOUN,NNS,pobj,O
84,2,to,PART,TO,aux,O
85,2,ultimately,ADV,RB,advmod,O
86,2,run,VERB,VB,relcl,O
87,2,code,NOUN,NN,dobj,O
88,2,with,ADP,IN,prep,O
89,2,elevated,ADJ,JJ,amod,O
90,2,privileges,NOUN,NNS,pobj,O
91,2,.,PUNCT,.,punct,O
92,4,MatrixSSL,NOUN,NN,amod,pn
93,4,version,NOUN,NN,nsubj,sp
94,4,3.7.2,NUM,CD,nsubj,version
95,4,adopts,VERB,VBZ,ROOT,verb
96,4,a,DET,DT,det,O
97,4,collision,NOUN,NN,npadvmod,O
98,4,-,PUNCT,HYPH,punct,O
99,4,prone,ADJ,JJ,amod,O
100,4,OID,NOUN,NN,compound,O
101,4,comparison,NOUN,NN,compound,O
102,4,logic,NOUN,NN,dobj,O
103,4,resulting,VERB,VBG,acl,O
104,4,in,ADP,IN,prep,O
105,4,possible,ADJ,JJ,amod,O
106,4,spoofing,NOUN,NN,pobj,O
107,4,of,ADP,IN,prep,O
108,4,OIDs,NOUN,NNS,pobj,O
109,4,(,PUNCT,-LRB-,punct,O
110,4,e.g.,ADV,RB,advmod,O
111,4,in,ADP,IN,prep,O
112,4,ExtKeyUsage,PROPN,NNP,compound,O
113,4,extension,NOUN,NN,pobj,O
114,4,),PUNCT,-RRB-,punct,O
115,4,on,ADP,IN,prep,O
116,4,X.509,PROPN,NNP,compound,O
117,4,certificates,NOUN,NNS,pobj,O
118,4,.,PUNCT,.,punct,O
119,6,Under,ADP,IN,prep,O
120,6,certain,ADJ,JJ,amod,O
121,6,conditions,NOUN,NNS,pobj,O
122,6,a,DET,DT,det,O
123,6,malicious,ADJ,JJ,amod,O
124,6,user,NOUN,NN,nsubj,O
125,6,can,VERB,MD,aux,O
126,6,prevent,VERB,VB,ROOT,O
127,6,legitimate,ADJ,JJ,amod,O
128,6,users,NOUN,NNS,dobj,O
129,6,from,ADP,IN,prep,O
130,6,accessing,VERB,VBG,pcomp,O
131,6,the,DET,DT,det,O
132,6,SAP,PROPN,NNP,compound,pn
133,6,Internet,PROPN,NNP,compound,pn
134,6,Graphics,PROPN,NNPS,compound,pn
135,6,Server,PROPN,NNP,dobj,pn
136,6,(,PUNCT,-LRB-,punct,pn
137,6,IGS,PROPN,NNP,appos,pn
138,6,),PUNCT,-RRB-,punct,pn
139,6,",",PUNCT,",",punct,sp
140,6,7.2,NUM,CD,appos,version
141,6,",",PUNCT,",",punct,sp
142,6,7.20EXT,NUM,CD,appos,version
143,6,",",PUNCT,",",punct,sp
144,6,7.45,NUM,CD,appos,version
145,6,",",PUNCT,",",punct,sp
146,6,7.49,NUM,CD,appos,version
147,6,",",PUNCT,",",punct,sp
148,6,7.53,NUM,CD,appos,version
149,6,",",PUNCT,",",punct,sp
150,6,via,ADP,IN,prep,prep
151,6,IGS,PROPN,NNP,nmod,pn
152,6,portwatcher,NOUN,NN,amod,pn
153,6,service,NOUN,NN,pobj,pn
154,6,.,PUNCT,.,punct,O
155,8,Cross,ADJ,JJ,subtok,O
156,8,-,ADJ,JJ,subtok,O
157,8,site,NOUN,NN,compound,O
158,8,scripting,NOUN,NN,ROOT,O
159,8,(,PUNCT,-LRB-,punct,O
160,8,XSS,PROPN,NNP,subtok,O
161,8,),PUNCT,-RRB-,punct,O
162,8,vulnerability,NOUN,NN,appos,O
163,8,in,ADP,IN,prep,O
164,8,IBM,PROPN,NNP,compound,pn
165,8,WebSphere,PROPN,NNP,compound,pn
166,8,Portal,PROPN,NNP,pobj,pn
167,8,6.1.0,NUM,CD,appos,vrs
168,8,through,ADP,IN,prep,<=
169,8,6.1.0.6,NUM,CD,compound,vre
170,8,CF27,PROPN,NNP,pobj,update
171,8,",",PUNCT,",",punct,sp
