sent_ind,cve_sent_ind,token,pos,tag,dep,label,pred_y
CVE-1999-0163,0,In,ADP,IN,prep,O,O
CVE-1999-0163,0,older,ADJ,JJR,amod,O,O
CVE-1999-0163,0,versions,NOUN,NNS,pobj,O,O
CVE-1999-0163,0,of,ADP,IN,prep,O,O
CVE-1999-0163,0,Sendmail,PROPN,NNP,pobj,pn,pn
CVE-1999-0163,0,",",PUNCT,",",punct,O,O
CVE-1999-0163,0,an,DET,DT,det,O,O
CVE-1999-0163,0,attacker,NOUN,NN,nsubj,O,O
CVE-1999-0163,0,could,VERB,MD,aux,O,O
CVE-1999-0163,0,use,VERB,VB,ROOT,O,O
CVE-1999-0163,0,a,DET,DT,det,O,O
CVE-1999-0163,0,pipe,NOUN,NN,compound,O,O
CVE-1999-0163,0,character,NOUN,NN,dobj,O,O
CVE-1999-0163,0,to,PART,TO,aux,O,O
CVE-1999-0163,0,execute,VERB,VB,xcomp,O,O
CVE-1999-0163,0,root,NOUN,NN,compound,O,O
CVE-1999-0163,0,commands,NOUN,NNS,dobj,O,O
CVE-1999-0163,0,.,PUNCT,.,punct,O,O
CVE-2000-0338,0,Concurrent,ADJ,JJ,compound,pn,O
CVE-2000-0338,0,Versions,PROPN,NNPS,compound,pn,O
CVE-2000-0338,0,Software,PROPN,NNP,nsubj,pn,O
CVE-2000-0338,0,(,PUNCT,-LRB-,punct,O,O
CVE-2000-0338,0,CVS,PROPN,NNP,appos,pn,pn
CVE-2000-0338,0,),PUNCT,-RRB-,punct,O,O
CVE-2000-0338,0,uses,VERB,VBZ,ROOT,O,O
CVE-2000-0338,0,predictable,ADJ,JJ,amod,O,O
CVE-2000-0338,0,temporary,ADJ,JJ,amod,O,O
CVE-2000-0338,0,file,NOUN,NN,compound,O,O
CVE-2000-0338,0,names,NOUN,NNS,dobj,O,O
CVE-2000-0338,0,for,ADP,IN,prep,O,O
CVE-2000-0338,0,locking,NOUN,NN,pobj,O,O
CVE-2000-0338,0,",",PUNCT,",",punct,O,O
CVE-2000-0338,0,which,DET,WDT,nsubj,O,O
CVE-2000-0338,0,allows,VERB,VBZ,relcl,O,O
CVE-2000-0338,0,local,ADJ,JJ,amod,O,O
CVE-2000-0338,0,users,NOUN,NNS,nsubj,O,O
CVE-2000-0338,0,to,PART,TO,aux,O,O
CVE-2000-0338,0,cause,VERB,VB,ccomp,O,O
CVE-2000-0338,0,a,DET,DT,det,O,O
CVE-2000-0338,0,denial,NOUN,NN,dobj,O,O
CVE-2000-0338,0,of,ADP,IN,prep,O,O
CVE-2000-0338,0,service,NOUN,NN,pobj,O,O
CVE-2000-0338,0,by,ADP,IN,prep,O,O
CVE-2000-0338,0,creating,VERB,VBG,pcomp,O,O
CVE-2000-0338,0,the,DET,DT,det,O,O
CVE-2000-0338,0,lock,NOUN,NN,compound,O,O
CVE-2000-0338,0,directory,NOUN,NN,dobj,O,O
CVE-2000-0338,0,before,ADP,IN,mark,O,O
CVE-2000-0338,0,it,PRON,PRP,nsubjpass,O,O
